time [iso8601],temperature_2m [°C],relative_humidity_2m [%],cloud_cover [%],wind_speed_10m [km/h],wind_direction_10m [°],rain [mm]
2024-11-29T00:00,4.3,86,100,12.6,287,0.0
2024-11-29T01:00,4.0,88,99,12.3,280,0.0
2024-11-29T02:00,3.9,88,99,12.6,275,0.0
2024-11-29T03:00,3.4,92,50,10.3,277,0.0
2024-11-29T04:00,2.6,95,77,9.4,275,0.0
2024-11-29T05:00,3.0,95,100,8.5,265,0.0
2024-11-29T06:00,3.7,92,100,8.1,269,0.0
2024-11-29T07:00,3.5,93,98,4.7,268,0.0
2024-11-29T08:00,2.8,94,100,2.2,279,0.0
2024-11-29T09:00,3.1,93,100,0.4,243,0.0
2024-11-29T10:00,3.5,86,100,1.3,188,0.0
2024-11-29T11:00,3.8,81,100,1.4,130,0.0
2024-11-29T12:00,4.2,78,99,2.3,113,0.0
2024-11-29T13:00,4.6,75,99,1.4,140,0.0
2024-11-29T14:00,4.8,73,100,2.5,188,0.0
2024-11-29T15:00,4.6,68,79,1.3,262,0.0
2024-11-29T16:00,4.2,69,86,2.1,200,0.0
2024-11-29T17:00,2.5,78,56,0.6,108,0.0
2024-11-29T18:00,1.4,80,0,1.6,90,0.0
2024-11-29T19:00,0.5,84,0,3.5,125,0.0
2024-11-29T20:00,-0.4,88,2,3.9,146,0.0
2024-11-29T21:00,-0.9,89,0,3.4,133,0.0
2024-11-29T22:00,-1.5,90,0,4.5,104,0.0
2024-11-29T23:00,-1.6,90,1,5.8,104,0.0
2024-11-30T00:00,-1.8,90,2,5.3,108,0.0
2024-11-30T01:00,-2.0,91,3,5.2,102,0.0
2024-11-30T02:00,-2.2,92,0,4.1,88,0.0
2024-11-30T03:00,-2.1,93,7,2.0,90,0.0
2024-11-30T04:00,-2.6,95,93,3.8,109,0.0
2024-11-30T05:00,-2.6,96,6,2.0,100,0.0
2024-11-30T06:00,-2.8,98,0,1.1,72,0.0
2024-11-30T07:00,-3.0,99,98,1.1,81,0.0
2024-11-30T08:00,-3.1,99,98,0.7,76,0.0
2024-11-30T09:00,-3.2,99,98,0.8,45,0.0
2024-11-30T10:00,-2.3,99,98,1.5,83,0.0
2024-11-30T11:00,-0.5,95,66,2.7,86,0.0
2024-11-30T12:00,1.5,87,75,2.3,61,0.0
2024-11-30T13:00,3.0,81,19,1.8,37,0.0
2024-11-30T14:00,3.8,77,10,1.5,83,0.0
2024-11-30T15:00,4.2,67,77,2.9,112,0.0
2024-11-30T16:00,2.6,76,97,1.1,108,0.0
2024-11-30T17:00,0.3,82,14,0.9,127,0.0
2024-11-30T18:00,-1.0,88,8,0.3,135,0.0
2024-11-30T19:00,-1.7,94,0,0.4,333,0.0
2024-11-30T20:00,-2.2,95,11,1.3,315,0.0
2024-11-30T21:00,-2.6,94,43,1.9,319,0.0
2024-11-30T22:00,-2.5,91,70,2.1,322,0.0
2024-11-30T23:00,-2.5,88,70,4.2,313,0.0
2024-12-01T00:00,-2.4,85,9,4.6,301,0.0
2024-12-01T01:00,-2.1,84,5,2.6,295,0.0
2024-12-01T02:00,-2.1,84,0,1.8,294,0.0
2024-12-01T03:00,-1.8,83,0,1.7,311,0.0
2024-12-01T04:00,-1.9,83,0,1.0,315,0.0
2024-12-01T05:00,-2.4,85,0,1.2,309,0.0
2024-12-01T06:00,-2.8,87,0,1.4,310,0.0
2024-12-01T07:00,-3.0,89,0,1.4,320,0.0
2024-12-01T08:00,-3.2,89,0,2.1,308,0.0
2024-12-01T09:00,-3.3,89,0,2.8,305,0.0
2024-12-01T10:00,-2.0,88,0,2.7,312,0.0
2024-12-01T11:00,0.7,75,0,3.6,342,0.0
2024-12-01T12:00,2.8,65,0,2.5,330,0.0
2024-12-01T13:00,4.1,59,0,2.2,312,0.0
2024-12-01T14:00,4.8,56,0,0.7,270,0.0
2024-12-01T15:00,4.9,60,0,0.4,180,0.0
2024-12-01T16:00,3.3,66,0,0.5,180,0.0
2024-12-01T17:00,0.8,73,0,1.4,220,0.0
2024-12-01T18:00,-0.4,77,0,2.5,266,0.0
2024-12-01T19:00,-1.2,80,11,2.8,281,0.0
2024-12-01T20:00,-2.0,82,49,3.9,294,0.0
2024-12-01T21:00,-2.7,84,7,4.4,297,0.0
2024-12-01T22:00,-3.0,84,3,3.9,298,0.0
2024-12-01T23:00,-2.8,83,1,2.8,305,0.0
2024-12-02T00:00,-2.8,81,2,3.8,319,0.0
2024-12-02T01:00,-2.5,79,44,3.5,325,0.0
2024-12-02T02:00,-2.1,77,51,2.6,326,0.0
2024-12-02T03:00,-0.4,79,81,3.2,304,0.0
2024-12-02T04:00,-0.2,81,96,4.4,289,0.0
2024-12-02T05:00,0.1,83,100,5.2,276,0.0
2024-12-02T06:00,1.6,82,100,6.5,246,0.0
2024-12-02T07:00,2.8,82,100,10.6,236,0.0
2024-12-02T08:00,3.1,83,98,11.7,234,0.0
2024-12-02T09:00,3.1,86,95,9.4,239,0.0
2024-12-02T10:00,3.5,86,99,7.5,255,0.0
2024-12-02T11:00,4.9,84,100,7.5,259,0.0
2024-12-02T12:00,6.2,83,100,7.6,252,0.0
2024-12-02T13:00,7.5,83,98,5.8,256,0.0
2024-12-02T14:00,8.1,83,61,5.0,226,0.0
2024-12-02T15:00,6.1,72,100,7.4,209,0.0
2024-12-02T16:00,4.9,78,100,5.1,207,0.0
2024-12-02T17:00,3.8,89,100,5.8,176,0.0
2024-12-02T18:00,3.5,92,97,6.2,190,0.0
2024-12-02T19:00,3.0,92,95,5.3,198,0.0
2024-12-02T20:00,2.6,93,99,6.8,217,0.0
2024-12-02T21:00,4.0,93,100,10.4,226,0.0
2024-12-02T22:00,4.0,94,100,8.9,230,0.0
2024-12-02T23:00,3.9,95,100,9.2,228,0.0
2024-12-03T00:00,3.9,95,98,9.7,223,0.0
2024-12-03T01:00,3.9,96,100,9.8,230,0.0
2024-12-03T02:00,3.8,96,100,9.9,237,0.0
2024-12-03T03:00,4.7,96,100,11.2,224,0.0
2024-12-03T04:00,4.8,96,100,10.3,227,0.0
2024-12-03T05:00,4.7,97,100,10.1,229,0.0
2024-12-03T06:00,4.5,97,96,9.6,227,0.0
2024-12-03T07:00,4.3,97,100,9.6,230,0.0
2024-12-03T08:00,4.3,96,100,10.6,238,0.0
2024-12-03T09:00,4.2,96,100,12.5,234,0.0
2024-12-03T10:00,4.4,95,100,13.9,226,0.0
2024-12-03T11:00,4.8,93,100,14.4,223,0.0
2024-12-03T12:00,5.0,92,100,14.5,222,0.1
2024-12-03T13:00,4.8,92,100,13.3,232,0.1
2024-12-03T14:00,5.0,91,100,11.1,247,0.1
2024-12-03T15:00,5.2,92,100,16.0,261,0.0
2024-12-03T16:00,5.2,90,100,17.0,294,0.0
2024-12-03T17:00,4.6,92,100,13.6,282,0.1
2024-12-03T18:00,4.2,94,83,14.7,281,0.0
2024-12-03T19:00,3.6,94,51,14.5,282,0.0
2024-12-03T20:00,2.6,95,71,13.3,272,0.0
2024-12-03T21:00,2.3,95,66,13.1,268,0.0
2024-12-03T22:00,1.9,95,82,12.7,264,0.0
2024-12-03T23:00,1.8,94,100,13.0,267,0.0
